Date,Delta_Infected,Delta_Recovered,Delta_Fatalities
01.03.20,0,0,0
02.03.20,0,0,0
03.03.20,0,0,0
04.03.20,0,0,0
05.03.20,0,0,0
06.03.20,5,0,0
07.03.20,0,0,0
08.03.20,0,0,0
09.03.20,3,0,0
10.03.20,3,0,0
11.03.20,6,0,0
12.03.20,4,0,0
13.03.20,5,0,0
14.03.20,9,0,0
15.03.20,0,0,0
16.03.20,18,0,0
17.03.20,2,0,0
18.03.20,31,0,0
19.03.20,12,0,0
20.03.20,33,0,0
21.03.20,6,0,0
22.03.20,54,0,0
23.03.20,71,0,0
24.03.20,28,0,0
25.03.20,120,0,0
26.03.20,136,0,0
27.03.20,157,0,0
28.03.20,114,0,0
29.03.20,197,0,0
30.03.20,212,0,0
31.03.20,387,0,0
01.04.20,267,0,0
02.04.20,595,0,0
03.04.20,448,0,0
04.04.20,434,0,0
05.04.20,536,0,0
06.04.20,591,0,0
07.04.20,697,16,2
08.04.20,660,48,0
09.04.20,857,43,7
10.04.20,1124,37,12
11.04.20,1030,149,8
12.04.20,1306,188,14
13.04.20,1355,150,10
14.04.20,1489,179,13
15.04.20,1774,189,11
16.04.20,1370,189,7
17.04.20,1959,123,14
18.04.20,2649,162,21
19.04.20,3570,84,28
20.04.20,2026,75,28
21.04.20,3083,219,29
22.04.20,2548,210,28
23.04.20,1959,181,27
24.04.20,2957,287,37
25.04.20,2612,312,41
26.04.20,2971,128,38
27.04.20,2871,349,31
28.04.20,3074,606,44
29.04.20,2220,480,67
30.04.20,3093,525,65
01.05.20,3561,631,47
02.05.20,5358,608,37
03.05.20,5948,655,34
04.05.20,5795,544,35
05.05.20,5714,297,52
06.05.20,5858,588,50
07.05.20,6703,769,39
08.05.20,5846,1032,51
09.05.20,5667,2520,54
10.05.20,5551,1011,58
11.05.20,6169,4032,56
12.05.20,5392,1820,55
13.05.20,4703,1864,53
